song,condition,task,ioi
Hello,Mod,NBACK,1071.428571
I'll_Make_Love_To_You,Mod,NBACK,1250
Praying,Mod,NBACK,975.609756
Africa,Unmod,NBACK,1125
(I've_Had)_The_Time_of_My_Life,Unmod,NBACK,967.741935
All_Of_Me,Unmod,NBACK,1232.876712
Since_You_Been_Gone,Mod,SART,1139.240506
Issues,Mod,SART,1250
Perfect,Mod,SART,1216.216216
When_I_Was_Your_Man,Unmod,SART,978.26087
Someone_Like_You,Unmod,SART,1100.917431
Complicated,Unmod,SART,1000
