song,condition,task,ioi
Hello,Mod,SART,1071.428571
I'll_Make_Love_To_You,Mod,SART,1250
Praying,Mod,SART,975.609756
Africa,Unmod,SART,1125
(I've_Had)_The_Time_of_My_Life,Unmod,SART,967.741935
All_Of_Me,Unmod,SART,1232.876712
Since_You_Been_Gone,Mod,NBACK,1139.240506
Issues,Mod,NBACK,1250
Perfect,Mod,NBACK,1216.216216
When_I_Was_Your_Man,Unmod,NBACK,978.26087
Someone_Like_You,Unmod,NBACK,1100.917431
Complicated,Unmod,NBACK,1000
